212.151.117.200 - - [09/Aug/2000:12:00:59 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:01:02 +0200] "OPTIONS /~dhtml/perl.doc HTTP/1.1" 200 -
212.151.117.200 - - [09/Aug/2000:12:01:30 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:02:14 +0200] "GET /~dhtml/cgi.doc HTTP/1.1" 200 146944
212.151.117.200 - - [09/Aug/2000:12:02:16 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:02:18 +0200] "OPTIONS /~dhtml/cgi.doc HTTP/1.1" 200 -
212.151.117.200 - - [09/Aug/2000:12:02:28 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:04:00 +0200] "GET /~dhtml/db.doc HTTP/1.1" 200 55808
212.151.117.200 - - [09/Aug/2000:12:04:05 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:04:08 +0200] "OPTIONS /~dhtml/db.doc HTTP/1.1" 200 -
212.151.117.200 - - [09/Aug/2000:12:04:42 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:04:48 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:04:49 +0200] "OPTIONS /~dhtml/db.doc HTTP/1.1" 200 -
212.151.117.200 - - [09/Aug/2000:12:06:54 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:06:55 +0200] "OPTIONS /~dhtml/db.doc HTTP/1.1" 200 -
212.151.117.200 - - [09/Aug/2000:12:07:38 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:07:39 +0200] "OPTIONS /~dhtml/db.doc HTTP/1.1" 200 -
212.151.117.200 - - [09/Aug/2000:12:08:01 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:08:05 +0200] "OPTIONS /~dhtml/db.doc HTTP/1.1" 200 -
212.151.117.200 - - [09/Aug/2000:12:08:27 +0200] "GET /~dhtml/page4.html HTTP/1.1" 200 8898
212.151.117.200 - - [09/Aug/2000:12:08:31 +0200] "GET /~dhtml/img22.gif HTTP/1.1" 200 5582
212.151.117.200 - - [09/Aug/2000:12:08:33 +0200] "GET /~dhtml/img7.gif HTTP/1.1" 200 2815
212.151.117.200 - - [09/Aug/2000:12:08:34 +0200] "GET /~dhtml/img23.gif HTTP/1.1" 200 1739
212.151.117.200 - - [09/Aug/2000:12:08:34 +0200] "GET /~dhtml/img24.gif HTTP/1.1" 200 1246
212.151.117.200 - - [09/Aug/2000:12:08:35 +0200] "GET /~dhtml/img25.gif HTTP/1.1" 200 2370
212.151.117.200 - - [09/Aug/2000:12:08:35 +0200] "GET /~dhtml/img26.gif HTTP/1.1" 200 2890
212.151.117.200 - - [09/Aug/2000:12:08:36 +0200] "GET /~dhtml/img27.gif HTTP/1.1" 200 1822
212.151.117.200 - - [09/Aug/2000:12:13:18 +0200] "GET /~dhtml/page3.html HTTP/1.1" 200 10958
212.151.117.200 - - [09/Aug/2000:12:13:18 +0200] "GET /~dhtml/back.gif HTTP/1.1" 304 -
212.151.117.200 - - [09/Aug/2000:12:13:19 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 304 -
212.151.117.200 - - [09/Aug/2000:12:13:20 +0200] "GET /~dhtml/img12.gif HTTP/1.1" 200 5839
212.151.117.200 - - [09/Aug/2000:12:13:20 +0200] "GET /~dhtml/img13.gif HTTP/1.1" 200 2811
212.151.117.200 - - [09/Aug/2000:12:13:22 +0200] "GET /~dhtml/img14.gif HTTP/1.1" 200 1873
212.151.117.200 - - [09/Aug/2000:12:13:22 +0200] "GET /~dhtml/img15.gif HTTP/1.1" 200 1933
212.151.117.200 - - [09/Aug/2000:12:13:23 +0200] "GET /~dhtml/img16.gif HTTP/1.1" 200 1783
212.151.117.200 - - [09/Aug/2000:12:13:23 +0200] "GET /~dhtml/img17.gif HTTP/1.1" 200 1900
212.151.117.200 - - [09/Aug/2000:12:13:24 +0200] "GET /~dhtml/img18.gif HTTP/1.1" 200 1747
212.151.117.200 - - [09/Aug/2000:12:13:24 +0200] "GET /~dhtml/img19.gif HTTP/1.1" 200 1688
212.151.117.200 - - [09/Aug/2000:12:13:25 +0200] "GET /~dhtml/img20.gif HTTP/1.1" 200 1076
212.151.117.200 - - [09/Aug/2000:12:13:26 +0200] "GET /~dhtml/page5.html HTTP/1.1" 304 -
212.151.117.200 - - [09/Aug/2000:12:13:27 +0200] "GET /~dhtml/img28.gif HTTP/1.1" 304 -
212.151.117.200 - - [09/Aug/2000:12:13:27 +0200] "GET /~dhtml/img29.gif HTTP/1.1" 304 -
212.151.117.200 - - [09/Aug/2000:12:13:27 +0200] "GET /~dhtml/img30.gif HTTP/1.1" 304 -
212.151.117.200 - - [09/Aug/2000:12:13:27 +0200] "GET /~dhtml/img21.gif HTTP/1.1" 304 -
212.151.117.200 - - [09/Aug/2000:12:13:52 +0200] "GET /~dhtml/laborationer/lab3.doc HTTP/1.1" 200 88576
